,gemini-2.5-flash,gpt-4o
kbaa-p011:__COL__:description,19,
kbaa-p011:__COL__:index,22,
kbaa-p011:matches,274,
kbaa-p011:total,286,
kbaa-p011:mismatch_bool,False,True
kbaa-p011:pred_nrows,22,19
kbaa-p011:pred_adj_nrows,22,19
kbaa-p011:gt_nrows,22,22
kbaa-p011:matches_pct,95.8041958041958,
kbaa-p012:__COL__:lastname,21,21
kbaa-p012:__COL__:firstname,21,21
kbaa-p012:__COL__:maidenname,21,21
kbaa-p012:__COL__:birthyear,21,20
kbaa-p012:__COL__:deathyear,21,20
kbaa-p012:__COL__:title,7,1
kbaa-p012:__COL__:city,19,17
kbaa-p012:__COL__:publisher,19,14
kbaa-p012:__COL__:publishyear,20,20
kbaa-p012:__COL__:pagecount,20,20
kbaa-p012:__COL__:library,20,19
kbaa-p012:__COL__:description,15,19
kbaa-p012:__COL__:index,21,21
kbaa-p012:matches,246,234
kbaa-p012:total,273,273
kbaa-p012:mismatch_bool,False,False
kbaa-p012:pred_nrows,20,20
kbaa-p012:pred_adj_nrows,21,21
kbaa-p012:gt_nrows,21,21
kbaa-p012:matches_pct,90.10989010989012,85.71428571428571
kbaa-p038:__COL__:lastname,21,21
kbaa-p038:__COL__:firstname,21,17
kbaa-p038:__COL__:maidenname,21,20
kbaa-p038:__COL__:birthyear,21,20
kbaa-p038:__COL__:deathyear,21,21
kbaa-p038:__COL__:title,8,8
kbaa-p038:__COL__:city,21,18
kbaa-p038:__COL__:publisher,20,20
kbaa-p038:__COL__:publishyear,21,20
kbaa-p038:__COL__:pagecount,21,19
kbaa-p038:__COL__:library,21,21
kbaa-p038:__COL__:description,12,15
kbaa-p038:__COL__:index,21,21
kbaa-p038:matches,250,241
kbaa-p038:total,273,273
kbaa-p038:mismatch_bool,False,False
kbaa-p038:pred_nrows,21,21
kbaa-p038:pred_adj_nrows,21,21
kbaa-p038:gt_nrows,21,21
kbaa-p038:matches_pct,91.57509157509158,88.27838827838828
kbaa-p039:__COL__:lastname,20,21
kbaa-p039:__COL__:firstname,20,21
kbaa-p039:__COL__:maidenname,21,21
kbaa-p039:__COL__:birthyear,21,21
kbaa-p039:__COL__:deathyear,21,21
kbaa-p039:__COL__:title,4,4
kbaa-p039:__COL__:city,20,21
kbaa-p039:__COL__:publisher,17,17
kbaa-p039:__COL__:publishyear,21,21
kbaa-p039:__COL__:pagecount,21,19
kbaa-p039:__COL__:library,21,21
kbaa-p039:__COL__:description,17,17
kbaa-p039:__COL__:index,21,21
kbaa-p039:matches,245,246
kbaa-p039:total,273,273
kbaa-p039:mismatch_bool,False,False
kbaa-p039:pred_nrows,21,20
kbaa-p039:pred_adj_nrows,21,21
kbaa-p039:gt_nrows,21,21
kbaa-p039:matches_pct,89.74358974358975,90.10989010989012
kbaa-p043:__COL__:lastname,20,20
kbaa-p043:__COL__:firstname,19,20
kbaa-p043:__COL__:maidenname,20,20
kbaa-p043:__COL__:birthyear,20,20
kbaa-p043:__COL__:deathyear,20,20
kbaa-p043:__COL__:title,15,5
kbaa-p043:__COL__:city,20,20
kbaa-p043:__COL__:publisher,20,19
kbaa-p043:__COL__:publishyear,20,20
kbaa-p043:__COL__:pagecount,20,20
kbaa-p043:__COL__:library,19,18
kbaa-p043:__COL__:description,15,14
kbaa-p043:__COL__:index,20,20
kbaa-p043:matches,248,236
kbaa-p043:total,260,260
kbaa-p043:mismatch_bool,False,False
kbaa-p043:pred_nrows,19,19
kbaa-p043:pred_adj_nrows,20,20
kbaa-p043:gt_nrows,20,20
kbaa-p043:matches_pct,95.38461538461539,90.76923076923077
kbaa-p048:__COL__:lastname,22,
kbaa-p048:__COL__:firstname,22,
kbaa-p048:__COL__:maidenname,22,
kbaa-p048:__COL__:birthyear,22,
kbaa-p048:__COL__:deathyear,22,
kbaa-p048:__COL__:title,10,
kbaa-p048:__COL__:city,21,
kbaa-p048:__COL__:publisher,21,
kbaa-p048:__COL__:publishyear,21,
kbaa-p048:__COL__:pagecount,20,
kbaa-p048:__COL__:library,21,
kbaa-p048:__COL__:description,18,
kbaa-p048:__COL__:index,22,
kbaa-p048:matches,264,
kbaa-p048:total,286,
kbaa-p048:mismatch_bool,False,True
kbaa-p048:pred_nrows,21,19
kbaa-p048:pred_adj_nrows,22,19
kbaa-p048:gt_nrows,22,22
kbaa-p048:matches_pct,92.3076923076923,
kbaa-p049:__COL__:lastname,19,19
kbaa-p049:__COL__:firstname,19,19
kbaa-p049:__COL__:maidenname,19,19
kbaa-p049:__COL__:birthyear,19,19
kbaa-p049:__COL__:deathyear,19,19
kbaa-p049:__COL__:title,10,11
kbaa-p049:__COL__:city,18,18
kbaa-p049:__COL__:publisher,18,18
kbaa-p049:__COL__:publishyear,18,18
kbaa-p049:__COL__:pagecount,18,18
kbaa-p049:__COL__:library,17,15
kbaa-p049:__COL__:description,14,16
kbaa-p049:__COL__:index,19,19
kbaa-p049:matches,227,228
kbaa-p049:total,247,247
kbaa-p049:mismatch_bool,False,False
kbaa-p049:pred_nrows,18,18
kbaa-p049:pred_adj_nrows,19,19
kbaa-p049:gt_nrows,19,19
kbaa-p049:matches_pct,91.90283400809717,92.3076923076923
kbaa-p058:matches,,
kbaa-p058:total,,
kbaa-p058:mismatch_bool,True,True
kbaa-p058:pred_nrows,19,19
kbaa-p058:pred_adj_nrows,19,19
kbaa-p058:gt_nrows,21,21
kbaa-p058:matches_pct,,
kbaa-p059:__COL__:lastname,20,20
kbaa-p059:__COL__:firstname,20,20
kbaa-p059:__COL__:maidenname,20,20
kbaa-p059:__COL__:birthyear,20,20
kbaa-p059:__COL__:deathyear,20,20
kbaa-p059:__COL__:title,18,10
kbaa-p059:__COL__:city,19,19
kbaa-p059:__COL__:publisher,20,19
kbaa-p059:__COL__:publishyear,20,19
kbaa-p059:__COL__:pagecount,20,18
kbaa-p059:__COL__:library,19,17
kbaa-p059:__COL__:description,15,14
kbaa-p059:__COL__:index,20,20
kbaa-p059:matches,251,236
kbaa-p059:total,260,260
kbaa-p059:mismatch_bool,False,False
kbaa-p059:pred_nrows,19,19
kbaa-p059:pred_adj_nrows,20,20
kbaa-p059:gt_nrows,20,20
kbaa-p059:matches_pct,96.53846153846153,90.76923076923077
kbaa-p060:__COL__:lastname,13,13
kbaa-p060:__COL__:firstname,8,8
kbaa-p060:__COL__:maidenname,16,16
kbaa-p060:__COL__:birthyear,10,10
kbaa-p060:__COL__:deathyear,14,14
kbaa-p060:__COL__:title,0,8
kbaa-p060:__COL__:city,8,8
kbaa-p060:__COL__:publisher,8,8
kbaa-p060:__COL__:publishyear,8,8
kbaa-p060:__COL__:pagecount,8,8
kbaa-p060:__COL__:library,11,5
kbaa-p060:__COL__:description,8,8
kbaa-p060:__COL__:index,8,8
kbaa-p060:matches,120,122
kbaa-p060:total,247,247
kbaa-p060:mismatch_bool,False,False
kbaa-p060:pred_nrows,18,18
kbaa-p060:pred_adj_nrows,19,19
kbaa-p060:gt_nrows,19,19
kbaa-p060:matches_pct,48.582995951417004,49.392712550607285
kbaa-p061:__COL__:lastname,20,
kbaa-p061:__COL__:firstname,17,
kbaa-p061:__COL__:maidenname,20,
kbaa-p061:__COL__:birthyear,20,
kbaa-p061:__COL__:deathyear,20,
kbaa-p061:__COL__:title,18,
kbaa-p061:__COL__:city,20,
kbaa-p061:__COL__:publisher,18,
kbaa-p061:__COL__:publishyear,20,
kbaa-p061:__COL__:pagecount,19,
kbaa-p061:__COL__:library,20,
kbaa-p061:__COL__:description,17,
kbaa-p061:__COL__:index,20,
kbaa-p061:matches,249,
kbaa-p061:total,260,
kbaa-p061:mismatch_bool,False,True
kbaa-p061:pred_nrows,20,16
kbaa-p061:pred_adj_nrows,20,16
kbaa-p061:gt_nrows,20,20
kbaa-p061:matches_pct,95.76923076923077,
kbaa-p062:__COL__:lastname,20,
kbaa-p062:__COL__:firstname,17,
kbaa-p062:__COL__:maidenname,21,
kbaa-p062:__COL__:birthyear,21,
kbaa-p062:__COL__:deathyear,21,
kbaa-p062:__COL__:title,19,
kbaa-p062:__COL__:city,20,
kbaa-p062:__COL__:publisher,20,
kbaa-p062:__COL__:publishyear,20,
kbaa-p062:__COL__:pagecount,20,
kbaa-p062:__COL__:library,20,
kbaa-p062:__COL__:description,15,
kbaa-p062:__COL__:index,21,
kbaa-p062:matches,255,
kbaa-p062:total,273,
kbaa-p062:mismatch_bool,False,True
kbaa-p062:pred_nrows,21,19
kbaa-p062:pred_adj_nrows,21,19
kbaa-p062:gt_nrows,21,21
kbaa-p062:matches_pct,93.4065934065934,
kbaa-p063:__COL__:lastname,18,18
kbaa-p063:__COL__:firstname,17,17
kbaa-p063:__COL__:maidenname,17,17
kbaa-p063:__COL__:birthyear,18,18
kbaa-p063:__COL__:deathyear,18,18
kbaa-p063:__COL__:title,3,4
kbaa-p063:__COL__:city,16,16
kbaa-p063:__COL__:publisher,16,15
kbaa-p063:__COL__:publishyear,16,16
kbaa-p063:__COL__:pagecount,16,17
kbaa-p063:__COL__:library,17,17
kbaa-p063:__COL__:description,15,14
kbaa-p063:__COL__:index,18,18
kbaa-p063:matches,205,205
kbaa-p063:total,234,234
kbaa-p063:mismatch_bool,False,False
kbaa-p063:pred_nrows,17,17
kbaa-p063:pred_adj_nrows,18,18
kbaa-p063:gt_nrows,18,18
kbaa-p063:matches_pct,87.6068376068376,87.6068376068376
kbaa-p064:__COL__:lastname,21,22
kbaa-p064:__COL__:firstname,20,22
kbaa-p064:__COL__:maidenname,22,22
kbaa-p064:__COL__:birthyear,22,21
kbaa-p064:__COL__:deathyear,22,21
kbaa-p064:__COL__:title,5,16
kbaa-p064:__COL__:city,22,18
kbaa-p064:__COL__:publisher,21,18
kbaa-p064:__COL__:publishyear,22,22
kbaa-p064:__COL__:pagecount,22,21
kbaa-p064:__COL__:library,22,22
kbaa-p064:__COL__:description,20,1
kbaa-p064:__COL__:index,22,22
kbaa-p064:matches,263,248
kbaa-p064:total,286,286
kbaa-p064:mismatch_bool,False,False
kbaa-p064:pred_nrows,22,21
kbaa-p064:pred_adj_nrows,22,22
kbaa-p064:gt_nrows,22,22
kbaa-p064:matches_pct,91.95804195804196,86.7132867132867
kbaa-p065:__COL__:lastname,19,19
kbaa-p065:__COL__:firstname,19,19
kbaa-p065:__COL__:maidenname,19,19
kbaa-p065:__COL__:birthyear,19,19
kbaa-p065:__COL__:deathyear,19,19
kbaa-p065:__COL__:title,5,11
kbaa-p065:__COL__:city,18,17
kbaa-p065:__COL__:publisher,16,15
kbaa-p065:__COL__:publishyear,19,18
kbaa-p065:__COL__:pagecount,19,18
kbaa-p065:__COL__:library,18,17
kbaa-p065:__COL__:description,15,16
kbaa-p065:__COL__:index,19,19
kbaa-p065:matches,224,226
kbaa-p065:total,247,247
kbaa-p065:mismatch_bool,False,False
kbaa-p065:pred_nrows,18,18
kbaa-p065:pred_adj_nrows,19,19
kbaa-p065:gt_nrows,19,19
kbaa-p065:matches_pct,90.68825910931174,91.49797570850203
kbaa-p066:__COL__:lastname,18,18
kbaa-p066:__COL__:firstname,18,17
kbaa-p066:__COL__:maidenname,18,18
kbaa-p066:__COL__:birthyear,18,18
kbaa-p066:__COL__:deathyear,18,18
kbaa-p066:__COL__:title,1,5
kbaa-p066:__COL__:city,18,17
kbaa-p066:__COL__:publisher,16,16
kbaa-p066:__COL__:publishyear,18,18
kbaa-p066:__COL__:pagecount,18,18
kbaa-p066:__COL__:library,18,13
kbaa-p066:__COL__:description,16,13
kbaa-p066:__COL__:index,18,18
kbaa-p066:matches,213,207
kbaa-p066:total,234,234
kbaa-p066:mismatch_bool,False,False
kbaa-p066:pred_nrows,18,18
kbaa-p066:pred_adj_nrows,18,18
kbaa-p066:gt_nrows,18,18
kbaa-p066:matches_pct,91.02564102564102,88.46153846153845
kbaa-p067:__COL__:lastname,19,20
kbaa-p067:__COL__:firstname,17,18
kbaa-p067:__COL__:maidenname,19,19
kbaa-p067:__COL__:birthyear,20,20
kbaa-p067:__COL__:deathyear,20,20
kbaa-p067:__COL__:title,2,17
kbaa-p067:__COL__:city,20,20
kbaa-p067:__COL__:publisher,17,17
kbaa-p067:__COL__:publishyear,20,19
kbaa-p067:__COL__:pagecount,20,19
kbaa-p067:__COL__:library,19,15
kbaa-p067:__COL__:description,12,17
kbaa-p067:__COL__:index,11,20
kbaa-p067:matches,216,241
kbaa-p067:total,260,260
kbaa-p067:mismatch_bool,False,False
kbaa-p067:pred_nrows,20,19
kbaa-p067:pred_adj_nrows,20,20
kbaa-p067:gt_nrows,20,20
kbaa-p067:matches_pct,83.07692307692308,92.6923076923077
kbaa-p068:matches,,248
kbaa-p068:total,,260
kbaa-p068:mismatch_bool,True,False
kbaa-p068:pred_nrows,21,20
kbaa-p068:pred_adj_nrows,21,20
kbaa-p068:gt_nrows,20,20
kbaa-p068:matches_pct,,95.38461538461539
kbaa-p069:__COL__:lastname,21,21
kbaa-p069:__COL__:firstname,20,20
kbaa-p069:__COL__:maidenname,22,22
kbaa-p069:__COL__:birthyear,22,22
kbaa-p069:__COL__:deathyear,22,22
kbaa-p069:__COL__:title,4,15
kbaa-p069:__COL__:city,21,21
kbaa-p069:__COL__:publisher,20,20
kbaa-p069:__COL__:publishyear,22,21
kbaa-p069:__COL__:pagecount,22,21
kbaa-p069:__COL__:library,0,20
kbaa-p069:__COL__:description,20,21
kbaa-p069:__COL__:index,22,22
kbaa-p069:matches,238,268
kbaa-p069:total,286,286
kbaa-p069:mismatch_bool,False,False
kbaa-p069:pred_nrows,22,21
kbaa-p069:pred_adj_nrows,22,22
kbaa-p069:gt_nrows,22,22
kbaa-p069:matches_pct,83.21678321678321,93.7062937062937
kbaa-p070:__COL__:lastname,18,
kbaa-p070:__COL__:firstname,18,
kbaa-p070:__COL__:maidenname,18,
kbaa-p070:__COL__:birthyear,19,
kbaa-p070:__COL__:deathyear,19,
kbaa-p070:__COL__:title,3,
kbaa-p070:__COL__:city,17,
kbaa-p070:__COL__:publisher,16,
kbaa-p070:__COL__:publishyear,19,
kbaa-p070:__COL__:pagecount,19,
kbaa-p070:__COL__:library,18,
kbaa-p070:__COL__:description,17,
kbaa-p070:__COL__:index,18,
kbaa-p070:matches,219,
kbaa-p070:total,247,
kbaa-p070:mismatch_bool,False,True
kbaa-p070:pred_nrows,18,17
kbaa-p070:pred_adj_nrows,19,17
kbaa-p070:gt_nrows,19,19
kbaa-p070:matches_pct,88.66396761133603,
kbaa-p071:__COL__:lastname,21,19
kbaa-p071:__COL__:firstname,19,15
kbaa-p071:__COL__:maidenname,20,20
kbaa-p071:__COL__:birthyear,19,17
kbaa-p071:__COL__:deathyear,20,20
kbaa-p071:__COL__:title,4,13
kbaa-p071:__COL__:city,21,14
kbaa-p071:__COL__:publisher,20,17
kbaa-p071:__COL__:publishyear,19,15
kbaa-p071:__COL__:pagecount,21,15
kbaa-p071:__COL__:library,20,13
kbaa-p071:__COL__:description,18,17
kbaa-p071:__COL__:index,21,17
kbaa-p071:matches,243,212
kbaa-p071:total,273,273
kbaa-p071:mismatch_bool,False,False
kbaa-p071:pred_nrows,21,20
kbaa-p071:pred_adj_nrows,21,21
kbaa-p071:gt_nrows,21,21
kbaa-p071:matches_pct,89.01098901098901,77.65567765567766
kbaa-p072:__COL__:lastname,19,20
kbaa-p072:__COL__:firstname,19,17
kbaa-p072:__COL__:maidenname,19,19
kbaa-p072:__COL__:birthyear,19,19
kbaa-p072:__COL__:deathyear,20,20
kbaa-p072:__COL__:title,7,14
kbaa-p072:__COL__:city,20,20
kbaa-p072:__COL__:publisher,17,17
kbaa-p072:__COL__:publishyear,20,20
kbaa-p072:__COL__:pagecount,20,20
kbaa-p072:__COL__:library,20,20
kbaa-p072:__COL__:description,14,15
kbaa-p072:__COL__:index,20,20
kbaa-p072:matches,234,241
kbaa-p072:total,260,260
kbaa-p072:mismatch_bool,False,False
kbaa-p072:pred_nrows,19,19
kbaa-p072:pred_adj_nrows,20,20
kbaa-p072:gt_nrows,20,20
kbaa-p072:matches_pct,90.0,92.6923076923077
kbaa-p073:__COL__:lastname,18,18
kbaa-p073:__COL__:firstname,17,18
kbaa-p073:__COL__:maidenname,19,19
kbaa-p073:__COL__:birthyear,19,17
kbaa-p073:__COL__:deathyear,19,17
kbaa-p073:__COL__:title,4,7
kbaa-p073:__COL__:city,18,19
kbaa-p073:__COL__:publisher,18,18
kbaa-p073:__COL__:publishyear,19,19
kbaa-p073:__COL__:pagecount,19,19
kbaa-p073:__COL__:library,19,18
kbaa-p073:__COL__:description,15,16
kbaa-p073:__COL__:index,19,19
kbaa-p073:matches,223,224
kbaa-p073:total,247,247
kbaa-p073:mismatch_bool,False,False
kbaa-p073:pred_nrows,19,19
kbaa-p073:pred_adj_nrows,19,19
kbaa-p073:gt_nrows,19,19
kbaa-p073:matches_pct,90.2834008097166,90.68825910931174
kbaa-p096:__COL__:lastname,5,5
kbaa-p096:__COL__:firstname,4,4
kbaa-p096:__COL__:maidenname,16,16
kbaa-p096:__COL__:birthyear,5,4
kbaa-p096:__COL__:deathyear,11,11
kbaa-p096:__COL__:title,0,1
kbaa-p096:__COL__:city,5,5
kbaa-p096:__COL__:publisher,6,5
kbaa-p096:__COL__:publishyear,3,3
kbaa-p096:__COL__:pagecount,4,4
kbaa-p096:__COL__:library,0,0
kbaa-p096:__COL__:description,3,3
kbaa-p096:__COL__:index,3,3
kbaa-p096:matches,65,64
kbaa-p096:total,234,234
kbaa-p096:mismatch_bool,False,False
kbaa-p096:pred_nrows,17,17
kbaa-p096:pred_adj_nrows,18,18
kbaa-p096:gt_nrows,18,18
kbaa-p096:matches_pct,27.77777777777778,27.350427350427353
kbaa-p100:__COL__:lastname,19,20
kbaa-p100:__COL__:firstname,20,19
kbaa-p100:__COL__:maidenname,20,20
kbaa-p100:__COL__:birthyear,20,19
kbaa-p100:__COL__:deathyear,20,20
kbaa-p100:__COL__:title,1,1
kbaa-p100:__COL__:city,20,19
kbaa-p100:__COL__:publisher,20,18
kbaa-p100:__COL__:publishyear,20,19
kbaa-p100:__COL__:pagecount,20,19
kbaa-p100:__COL__:library,20,19
kbaa-p100:__COL__:description,15,14
kbaa-p100:__COL__:index,19,18
kbaa-p100:matches,234,225
kbaa-p100:total,260,260
kbaa-p100:mismatch_bool,False,False
kbaa-p100:pred_nrows,20,20
kbaa-p100:pred_adj_nrows,20,20
kbaa-p100:gt_nrows,20,20
kbaa-p100:matches_pct,90.0,86.53846153846155
kbaa-p101:__COL__:lastname,22,14
kbaa-p101:__COL__:firstname,21,10
kbaa-p101:__COL__:maidenname,22,22
kbaa-p101:__COL__:birthyear,22,14
kbaa-p101:__COL__:deathyear,22,20
kbaa-p101:__COL__:title,11,7
kbaa-p101:__COL__:city,21,12
kbaa-p101:__COL__:publisher,21,11
kbaa-p101:__COL__:publishyear,22,12
kbaa-p101:__COL__:pagecount,22,12
kbaa-p101:__COL__:library,22,12
kbaa-p101:__COL__:description,20,8
kbaa-p101:__COL__:index,22,12
kbaa-p101:matches,270,166
kbaa-p101:total,286,286
kbaa-p101:mismatch_bool,False,False
kbaa-p101:pred_nrows,22,21
kbaa-p101:pred_adj_nrows,22,22
kbaa-p101:gt_nrows,22,22
kbaa-p101:matches_pct,94.4055944055944,58.04195804195804
kbaa-p106:__COL__:lastname,19,19
kbaa-p106:__COL__:firstname,18,17
kbaa-p106:__COL__:maidenname,19,19
kbaa-p106:__COL__:birthyear,19,19
kbaa-p106:__COL__:deathyear,18,19
kbaa-p106:__COL__:title,4,10
kbaa-p106:__COL__:city,19,18
kbaa-p106:__COL__:publisher,19,16
kbaa-p106:__COL__:publishyear,19,18
kbaa-p106:__COL__:pagecount,18,19
kbaa-p106:__COL__:library,19,15
kbaa-p106:__COL__:description,17,14
kbaa-p106:__COL__:index,19,19
kbaa-p106:matches,227,222
kbaa-p106:total,247,247
kbaa-p106:mismatch_bool,False,False
kbaa-p106:pred_nrows,18,18
kbaa-p106:pred_adj_nrows,19,19
kbaa-p106:gt_nrows,19,19
kbaa-p106:matches_pct,91.90283400809717,89.87854251012146
kbaa-p107:__COL__:lastname,22,
kbaa-p107:__COL__:firstname,22,
kbaa-p107:__COL__:maidenname,22,
kbaa-p107:__COL__:birthyear,22,
kbaa-p107:__COL__:deathyear,22,
kbaa-p107:__COL__:title,16,
kbaa-p107:__COL__:city,22,
kbaa-p107:__COL__:publisher,22,
kbaa-p107:__COL__:publishyear,22,
kbaa-p107:__COL__:pagecount,22,
kbaa-p107:__COL__:library,22,
kbaa-p107:__COL__:description,19,
kbaa-p107:__COL__:index,22,
kbaa-p107:matches,277,
kbaa-p107:total,286,
kbaa-p107:mismatch_bool,False,True
kbaa-p107:pred_nrows,21,20
kbaa-p107:pred_adj_nrows,22,20
kbaa-p107:gt_nrows,22,22
kbaa-p107:matches_pct,96.85314685314685,
kbaa-p113:__COL__:lastname,21,20
kbaa-p113:__COL__:firstname,21,20
kbaa-p113:__COL__:maidenname,22,21
kbaa-p113:__COL__:birthyear,22,22
kbaa-p113:__COL__:deathyear,22,22
kbaa-p113:__COL__:title,14,7
kbaa-p113:__COL__:city,22,21
kbaa-p113:__COL__:publisher,22,17
kbaa-p113:__COL__:publishyear,22,21
kbaa-p113:__COL__:pagecount,22,21
kbaa-p113:__COL__:library,22,20
kbaa-p113:__COL__:description,22,22
kbaa-p113:__COL__:index,22,22
kbaa-p113:matches,276,256
kbaa-p113:total,286,286
kbaa-p113:mismatch_bool,False,False
kbaa-p113:pred_nrows,22,22
